HG02383	1.8419	1.0215	3.8520	3.2089	1.8763	3.6677	2.1909	0.9066	0.8419	1.8682	1.9660
HG01694	1.9493	1.0499	3.9169	3.2633	1.9301	3.7747	2.1414	0.9468	0.9912	1.9399	1.7899
HG02334	1.8682	0.9672	3.7365	3.1992	1.8782	3.7154	2.2131	0.8908	0.9317	1.8242	2.0106
HG02353	1.8624	1.0465	4.7071	4.3965	2.7436	5.3145	2.3032	0.9390	0.8898	2.7645	1.9114
HG02439	1.8939	0.9843	3.9740	3.4572	1.9730	3.7772	2.0804	0.9437	0.8562	1.9975	1.9469
HG01325	1.9554	0.9841	4.1602	3.1605	2.0151	3.8370	2.0303	1.0022	0.9084	2.0443	2.0277
HG01256	1.9491	0.9680	3.8208	2.8094	1.8486	3.6485	1.7926	1.0064	0.9402	1.9155	1.8211
HG01164	1.9980	0.9034	4.0236	3.0482	2.0260	3.7954	2.0276	0.9957	1.0333	2.0579	1.9758
HG01204	1.9469	0.9808	4.0618	3.0694	2.0547	3.8930	1.9714	0.9894	0.9576	2.0811	1.9740
HG01682	1.9891	1.0292	3.9238	3.1526	1.9275	3.9020	1.9049	0.9577	0.9990	1.9631	1.7908
HG02367	1.8908	1.0251	3.8317	3.2847	1.8913	3.6871	2.2037	0.9075	0.9738	1.8994	1.9684
HG01583	2.0151	1.0071	3.9904	3.1482	2.0765	3.9924	2.0657	1.0462	1.0303	2.0225	2.0390
HG02219	1.8791	0.9701	3.8668	3.0866	1.9678	3.8007	2.0641	0.9520	0.9147	1.9267	1.8787
HG01631	1.9251	0.9890	3.7713	2.7815	1.9155	3.9284	1.8424	0.9385	1.0259	1.9176	1.8131
HG01383	1.9543	1.0368	3.9456	2.9504	1.9727	3.9889	2.0208	0.9527	1.1229	1.9495	1.8007
HG02050	1.9062	1.0632	2.9590	2.2234	1.1302	2.0044	2.0475	0.9597	0.9081	1.0362	1.9082
HG02259	1.9337	1.0843	3.8662	3.2522	1.9014	3.8529	2.1556	0.9193	0.9534	1.9151	1.9220
HG01464	1.8683	1.0405	3.7897	3.0645	1.8954	3.7316	2.0823	0.9189	0.8635	1.8451	1.9559
HG00145	1.9103	1.0314	3.9522	3.1211	1.9233	4.0687	2.0279	0.9410	0.9135	1.9169	1.9620
HG01865	1.8758	1.0023	3.8280	3.2150	1.9315	3.8837	2.1836	0.9111	0.8551	1.8599	1.9897
HG01392	2.0215	1.0279	4.1009	3.0650	2.0555	4.1960	2.0074	0.9885	1.0573	2.0729	1.9385
HG01935	1.8520	0.9929	3.8026	3.2342	1.9128	3.5991	2.2413	0.9333	0.8014	1.9018	2.0391
HG01890	1.9773	0.9917	3.9735	2.9968	2.0221	4.0043	2.0576	1.0103	1.0023	2.0340	1.9824
HG02420	1.8597	0.2121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0308
HG01455	1.8978	0.9985	3.8688	2.9476	1.9823	3.7724	1.9163	1.0390	1.0088	1.9678	1.9039
HG01781	1.7912	0.9106	3.6547	3.2132	1.8392	3.4230	2.1773	0.8878	0.9190	1.7796	1.8007
HG01286	1.9432	1.0118	4.0780	3.0279	2.0367	4.0939	2.0601	0.9849	1.0149	2.0055	1.9396
HG01133	1.8490	1.0601	3.6740	3.0543	1.8358	3.5140	1.8928	0.9223	0.9222	1.8732	1.7047
NA18504	1.8789	0.9838	2.4814	1.1855	1.0902	1.1891	1.7763	0.9340	0.6165	0.7061	1.8831
NA19213	1.8329	0.9872	3.6924	2.9519	1.8466	3.4761	1.8838	0.8916	0.9249	1.8755	1.8485
NA06986	1.8260	1.0566	3.6704	3.0148	1.8356	3.6348	2.0171	0.9361	0.8841	1.8243	1.8590
NA18988	1.8475	1.0671	2.7840	2.1353	1.0906	1.7154	2.2984	0.8583	0.8569	1.1884	1.9348
HG00371	1.9152	1.0139	2.9222	0.9675	1.7389	1.9703	1.8393	1.0193	0.1447	1.0015	1.8154
HG02854	1.8912	0.9823	3.8857	3.0243	1.8831	3.6812	2.0661	0.9262	0.8388	1.8652	1.9071
HG01991	1.9984	0.9063	4.0705	3.0612	2.0241	3.9115	2.0091	1.0050	1.0243	2.0539	1.9754
